Dict_name,Site,Mode,HA_var,Start_date,Var_residual,Var_model_fit,Whittle_value,η_D2,τ_D2,γ_D2,season
KIM200_P17_0,KIM200,0,72.70270458464753,2012-02-02,21.10505782775522,23.524294140947077,68.00431172576118,4.858432718879759,4.063531360200865,1.8957082592142573,Feb-Apr
KIM200_P17_0,KIM200,1,2.2036196038016365,2012-02-02,10.753165349135427,7.960542028893782,-18.020863193464567,2.825079084982955,3.027109393068986,1.9999999999999996,Feb-Apr
KIM200_P17_0,KIM200,2,1.526886894135677,2012-02-02,3.282694850763405,3.1227268485011996,-69.61485101856863,1.7694227051053018,2.611676521655403,1.9999999999999996,Feb-Apr
KIM200_P17_1,KIM200,0,63.16412443542924,2012-04-22,26.619041389752155,13.167720810738512,19.618217612153433,3.6334070781016425,3.083379958858622,2.0,May-Jul
KIM200_P17_1,KIM200,1,10.95014322079112,2012-04-22,11.743543040190792,12.104212275568694,29.280237578884368,3.4842324140372027,3.0201065621224985,1.9717361175921975,May-Jul
KIM200_P17_1,KIM200,2,1.7357841568112335,2012-04-22,2.5973846280779824,1.9066418061371508,-106.34886202138848,1.3826104976835047,2.5708494398534416,2.0,May-Jul
KIM200_P18_0,KIM200,0,40.481059244334595,2012-08-11,23.40333379948607,24.557843457195236,66.76149709725726,4.961960715540113,3.14420024682246,2.0,Aug-Oct
KIM200_P18_0,KIM200,1,12.727342723755717,2012-08-11,14.817733069021955,11.586464175664908,30.5556837865945,3.4083084893450404,2.6855752333598235,1.9999999999999987,Aug-Oct
KIM200_P18_0,KIM200,2,2.454806160561349,2012-08-11,3.6611942217832785,2.318166910834723,-108.80437746451109,1.5245207257984388,2.870263117619812,1.9999999999999996,Aug-Oct
KIM200_P18_1,KIM200,0,67.27989320825084,2012-10-30,42.68808352640574,39.50325106386279,119.46142541006407,6.2938842625857685,2.993706625604641,1.984747706043345,Nov-Jan
KIM200_P18_1,KIM200,1,4.223764591808865,2012-10-30,14.57254954138632,9.116643363104247,11.51931630359597,3.023297966907635,2.6832770157593706,1.9999999999999987,Nov-Jan
KIM200_P18_1,KIM200,2,4.198271024714403,2012-10-30,2.9839130727052607,2.136575907597568,-103.8137486305786,1.4636013840279578,2.6714322335790883,2.0,Nov-Jan
KIM200_P19_0,KIM200,0,85.63358481756084,2013-01-27,27.304191563825782,28.59429476204344,72.54439395987895,5.3542256305263205,3.298354816310371,1.9999999999999947,Feb-Apr
KIM200_P19_0,KIM200,1,5.249044784545249,2013-01-27,21.57360656889239,14.066404932078491,30.828851003863747,3.755359699754873,2.959326201198581,1.9999999999999951,Feb-Apr
KIM200_P19_0,KIM200,2,2.754559229440595,2013-01-27,3.122282540057457,2.9098160327586577,-84.63856067508243,1.7080284510183836,2.763093479339358,2.0,Feb-Apr
KIM200_P19_1,KIM200,0,68.04721898394139,2013-04-17,13.339548499565085,13.337046617089655,105.66538427946014,3.665466072859348,2.5401440592170346,1.8055428376485718,May-Jul
KIM200_P19_1,KIM200,1,8.41944043182423,2013-04-17,19.308015282245254,9.99353085525299,5.455900646988423,3.165336500677049,2.9204101172608112,2.0,May-Jul
KIM200_P19_1,KIM200,2,0.5244499026553189,2013-04-17,7.1542182143622,4.047641219245853,-71.41560333016218,2.0144683264029455,3.0121756991345046,2.0,May-Jul
KIM200_P20_0,KIM200,0,84.42682059151554,2013-07-25,15.889747631025863,15.034122413655815,55.23997748439321,3.8839288932579192,3.0955044159255993,1.9387254962814642,Aug-Oct
KIM200_P20_0,KIM200,1,11.030859147039784,2013-07-25,10.488351580404856,10.847646199819467,27.768493468422783,3.2982499847973923,2.7847669331077434,1.9836208144551277,Aug-Oct
KIM200_P20_0,KIM200,2,0.7819153225058587,2013-07-25,4.433874865863149,2.7493087583533296,-86.84133332610975,1.6602543968152297,2.7235749175704935,1.9999999999999991,Aug-Oct
KIM200_P20_1,KIM200,0,53.88760409349874,2013-10-13,25.075673237811685,22.291942389970426,52.857826727857315,4.727778689440923,3.4616676257468098,1.986660626873132,Nov-Jan
KIM200_P20_1,KIM200,1,4.57376921665735,2013-10-13,19.96254560849251,10.767742727163634,17.320599548191026,3.2856707879338143,2.810686367996267,1.9999999999999996,Nov-Jan
KIM200_P20_1,KIM200,2,2.564235379182335,2013-10-13,3.3465727473535685,3.884126297069586,-85.71393431888434,1.9733490870393382,3.2620074495305103,1.9999999999999982,Nov-Jan
KIM200_P21_0,KIM200,0,60.75591889026914,2014-02-01,44.43127876619602,39.30607431545381,101.80244316308985,6.277657595439926,3.2620284175972194,1.9953862088092196,Feb-Apr
KIM200_P21_0,KIM200,1,5.759339766431146,2014-02-01,18.750564671132445,11.762008047538082,33.93993220294019,3.434034879133724,2.650862023583369,1.9999999999999996,Feb-Apr
KIM200_P21_0,KIM200,2,3.063316167738957,2014-02-01,6.400533481987154,3.680159012427984,-63.878622914028604,1.9208616544727124,2.7296799164972065,1.9999999999999996,Feb-Apr
KIM200_P21_1,KIM200,0,88.52849195456353,2014-04-22,13.748231773449731,13.571435370417573,101.17683108965676,3.700427918514872,3.0092533504353303,1.6983254563430707,May-Jul
KIM200_P21_1,KIM200,1,7.190828090170955,2014-04-22,13.14925585236886,9.190642796390748,14.212152914965978,3.035546648170595,2.650747136660949,1.9999999999999996,May-Jul
KIM200_P21_1,KIM200,2,2.873508385867846,2014-04-22,4.541481992350712,3.4909607430020566,-76.68031271976074,1.8708256945719886,2.882051247667541,1.9999999999999991,May-Jul
