Dict_name,Site,Mode,HA_var,Start_date,Var_residual,Var_model_fit,Whittle_value,η_S2,τ_S2,γ_S2,η_M2,τ_M2,γ_M2,season
KIM200_P17_0,KIM200,0,72.70270458464753,2012-02-02,21.10505782775522,24.714601194239947,62.19043059524345,2.960161475799724,10.936129006300801,1.5209340292950047,4.0045512797747795,4.3101149930831255,1.9504686417014512,Feb-Apr
KIM200_P17_0,KIM200,1,2.2036196038016365,2012-02-02,10.753165349135427,7.934924070184873,-26.448157141393217,1.6517107581441879,4.486290938918314,1.9999999999999925,2.2863304729699094,3.22188645296576,2.0,Feb-Apr
KIM200_P17_0,KIM200,2,1.526886894135677,2012-02-02,3.282694850763405,3.102952524076177,-89.35105852304817,6.258693986277855e-47,3.983275110800124e-33,9.561602056637319e-16,1.7638390220545817,2.916804978433684,1.9999999999999996,Feb-Apr
KIM200_P17_1,KIM200,0,63.16412443542924,2012-04-22,26.619041389752155,12.796628306213195,8.438892709724213,4.959983646532333e-84,5.16637469645374e-49,2.6292230084655465e-11,3.5819173748303674,3.2578743617723105,1.9999999999999996,May-Jul
KIM200_P17_1,KIM200,1,10.95014322079112,2012-04-22,11.743543040190792,13.384409442487373,21.188216152116553,9.79081586282485e-08,1.0457249076354733e+24,0.05112586174245474,3.6637138050496953,3.286614516255914,1.9778935964069635,May-Jul
KIM200_P17_1,KIM200,2,1.7357841568112335,2012-04-22,2.5973846280779824,1.8608137567225005,-124.17792416187065,5.645285893067294e-13,5.987618174630729e+268,1.9995562127394144,1.3659172434535654,2.8038351757744233,2.0,May-Jul
KIM200_P18_0,KIM200,0,40.481059244334595,2012-08-11,23.40333379948607,27.37545510876303,62.71298626884949,3.5977799831457766e-07,3.4585779199040166e+289,2.232703446242036e-55,5.238984161866087,3.430200106000864,2.0,Aug-Oct
KIM200_P18_0,KIM200,1,12.727342723755717,2012-08-11,14.817733069021955,10.813492110142393,6.123081630536079,6.554146120069145e-14,59.919667832434016,0.10958052410561372,3.2927085864350123,3.005064192389805,1.9999999999999996,Aug-Oct
KIM200_P18_0,KIM200,2,2.454806160561349,2012-08-11,3.6611942217832785,2.2637485367458754,-125.20596054125143,4.1034768899775245e-19,6.534969404484773e-11,2.0,1.5065479628744527,3.1405795361998354,2.0,Aug-Oct
KIM200_P18_1,KIM200,0,67.27989320825084,2012-10-30,42.68808352640574,45.31353923309283,106.80646590750683,2.3422470524384943e-06,3.5903871779227115e-21,0.00020243175698005976,6.740598434838453,3.4360587616534137,1.9917049162439395,Nov-Jan
KIM200_P18_1,KIM200,1,4.223764591808865,2012-10-30,14.57254954138632,8.467357513416728,-8.813838054850574,7.37079099309558e-47,7.487228410474126e-70,2.641006867787093e-06,2.9137037049266,2.9123865272638776,1.9999999999999996,Nov-Jan
KIM200_P18_1,KIM200,2,4.198271024714403,2012-10-30,2.9839130727052607,2.172698939054899,-120.19247036066922,3.539052241029566e-66,3.5331964603238005e-98,4.996590909292501e-09,1.47594639907289,2.962820236325377,2.0,Nov-Jan
KIM200_P19_0,KIM200,0,85.63358481756084,2013-01-27,27.304191563825782,26.57531807278334,69.14575285843915,3.4754922899313434,9.040514077285513e-309,0.0021771816503894257,5.143000344034408,3.5670887880774242,1.9997447652171838,Feb-Apr
KIM200_P19_0,KIM200,1,5.249044784545249,2013-01-27,21.57360656889239,15.762740984655034,63.60537144600072,3.9753630501477164,2.5654193606834252,2.0,8.699342300895144e-11,20837.61175216601,0.037084183712658654,Feb-Apr
KIM200_P19_0,KIM200,2,2.754559229440595,2013-01-27,3.122282540057457,2.9512256073331544,-98.04862392153618,1.1147469700700855e-39,1.4376390526115237e+48,2.0597574054286014e-15,1.7201703186457031,3.0110000881648427,1.9999999999999991,Feb-Apr
KIM200_P19_1,KIM200,0,68.04721898394139,2013-04-17,13.339548499565085,14.204592128482865,89.3573548717851,2.1196774197379966,0.0001392196113485907,0.26340810556866906,3.771305084608127,2.9618672248189934,1.8441364031297474,May-Jul
KIM200_P19_1,KIM200,1,8.41944043182423,2013-04-17,19.308015282245254,9.46882155319357,-5.000162745440116,2.3351575969623266e-07,3.204440330141405e+16,1.7880626573754546e-25,3.0811877293339305,3.0154673133583865,2.0,May-Jul
KIM200_P19_1,KIM200,2,0.5244499026553189,2013-04-17,7.1542182143622,3.993709886943449,-78.11527904009685,1.780138604233917e-11,1.340736142131517e+75,4.611093256954583e-21,2.001048006215468,3.102815839787402,1.9999999999999991,May-Jul
KIM200_P20_0,KIM200,0,84.42682059151554,2013-07-25,15.889747631025863,17.227738704649926,47.73269231376476,2.871661390269717e-07,0.003611642973878726,0.09454487277464886,4.1569977160841605,3.2955085684835237,1.961085374213715,Aug-Oct
KIM200_P20_0,KIM200,1,11.030859147039784,2013-07-25,10.488351580404856,12.314109210172846,26.287794227352336,0.0002796418411496694,0.008952357532143549,1.9177292670642494,3.513990379377762,2.9010194393512494,1.9912751105720208,Aug-Oct
KIM200_P20_0,KIM200,2,0.7819153225058587,2013-07-25,4.433874865863149,2.569520216880026,-104.4978300805088,1.0890398489750247e-69,1.738428411605898e-72,5.163590768745838e-08,1.605082599615331,2.9178917667945954,2.0,Aug-Oct
KIM200_P20_1,KIM200,0,53.88760409349874,2013-10-13,25.075673237811685,22.566326969078368,37.7020007241381,0.0,inf,1.9949958759826838,4.757037568719162,4.134955382119997,1.9717261760142664,Nov-Jan
